model,accuracy,precision,recall,f1
Logistic Regression (baseline),0.7622098646034816,0.8307402168788307,0.7383197150639011,0.781808097615086
Random Forest (main model),0.7976305609284333,0.7808591625883632,0.9025769956002514,0.8373177842565598
